path,measured_size,status,batch_id,notes
logs/research/claude-marketplace/samples/ZhuBit--cowork-semantic-search.md,23320,pending,,
logs/research/claude-marketplace/samples/a3lem--my-claude-plugins.md,24778,pending,,
logs/research/claude-marketplace/samples/affaan-m--everything-claude-code.md,38164,pending,,
logs/research/claude-marketplace/samples/anthril--official-claude-plugins.md,33559,pending,,
logs/research/claude-marketplace/samples/anthropics--claude-plugins-community.md,17747,pending,,
logs/research/claude-marketplace/samples/anthropics--claude-plugins-official.md,30129,pending,,
logs/research/claude-marketplace/samples/anthropics--financial-services-plugins.md,22040,pending,,
logs/research/claude-marketplace/samples/anthropics--healthcare.md,19046,pending,,
logs/research/claude-marketplace/samples/anthropics--knowledge-work-plugins.md,25571,pending,,
logs/research/claude-marketplace/samples/anthropics--life-sciences.md,24262,pending,,
logs/research/claude-marketplace/samples/brunoborges--ghx.md,23446,pending,,
logs/research/claude-marketplace/samples/damionrashford--trader-os.md,34864,pending,,
logs/research/claude-marketplace/samples/ekadetov--llm-wiki.md,19985,pending,,
logs/research/claude-marketplace/samples/heliohq--ship.md,24294,pending,,
logs/research/claude-marketplace/samples/hwuiwon--autotune.md,23975,pending,,
logs/research/claude-marketplace/samples/iVintik--codeharness.md,27233,pending,,
logs/research/claude-marketplace/samples/includeHasan--prospect-studio.md,30270,pending,,
logs/research/claude-marketplace/samples/jmylchreest--aide.md,38917,pending,,
logs/research/claude-marketplace/samples/jxw1102--flipper-claude-buddy.md,30528,pending,,
logs/research/claude-marketplace/samples/lukasmalkmus--moneymoney.md,23488,pending,,
logs/research/claude-marketplace/samples/marioGusmao--mg-plugins.md,30137,pending,,
logs/research/claude-marketplace/samples/mdproctor--cc-praxis.md,30200,pending,,
logs/research/claude-marketplace/samples/raphaelchristi--harness-evolver.md,29369,pending,,
logs/research/claude-marketplace/samples/robertnowell--marketing-pipeline.md,31057,pending,,
logs/research/claude-marketplace/samples/skullninja--coco-workflow.md,27935,pending,,
logs/research/claude-marketplace/samples/smcady--Cairn.md,23980,pending,,
logs/research/claude-marketplace/samples/stellarlinkco--myclaude.md,29142,pending,,
logs/research/claude-marketplace/samples/thecodeartificerX--codetographer.md,28180,pending,,
logs/research/claude-marketplace/samples/tretuttle--AI-Stuff.md,31974,pending,,
logs/research/mcp/samples/AlwaysSany--deepl-fastmcp-python-server.md,6870,pending,,
logs/research/mcp/samples/Azure--azure-mcp.md,6234,pending,,
logs/research/mcp/samples/ClickHouse--mcp-clickhouse.md,7982,pending,,
logs/research/mcp/samples/DaInfernalCoder--perplexity-mcp.md,3808,pending,,
logs/research/mcp/samples/DiversioTeam--clickup-mcp.md,8196,pending,,
logs/research/mcp/samples/FuzzingLabs--mcp-security-hub.md,7800,pending,,
logs/research/mcp/samples/GLips--Figma-Context-MCP.md,5871,pending,,
logs/research/mcp/samples/HenkDz--postgresql-mcp-server.md,4955,pending,,
logs/research/mcp/samples/JackKuo666--PubMed-MCP-Server.md,6417,pending,,
logs/research/mcp/samples/PagerDuty--pagerduty-mcp-server.md,6322,pending,,
logs/research/mcp/samples/ahmedmustahid--postgres-mcp-server.md,4775,pending,,
logs/research/mcp/samples/alexei-led--k8s-mcp-server.md,6431,pending,,
logs/research/mcp/samples/alpacahq--alpaca-mcp-server.md,7322,pending,,
logs/research/mcp/samples/apollographql--apollo-mcp-server.md,7135,pending,,
logs/research/mcp/samples/awslabs--aws-api-mcp-server.md,8863,pending,,
logs/research/mcp/samples/awslabs--aws-documentation-mcp-server.md,7119,pending,,
logs/research/mcp/samples/awslabs--bedrock-kb-retrieval-mcp-server.md,6375,pending,,
logs/research/mcp/samples/awslabs--mcp-lambda-handler.md,8528,pending,,
logs/research/mcp/samples/awslabs--mcp.md,9813,pending,,
logs/research/mcp/samples/awslabs--openapi-mcp-server.md,8189,pending,,
logs/research/mcp/samples/baryhuang--mcp-server-aws-resources-python.md,6770,pending,,
logs/research/mcp/samples/bhauman--clojure-mcp.md,6355,pending,,
logs/research/mcp/samples/blazickjp--arxiv-mcp-server.md,6272,pending,,
logs/research/mcp/samples/chroma-core--chroma-mcp.md,6865,pending,,
logs/research/mcp/samples/ckreiling--mcp-server-docker.md,6010,pending,,
logs/research/mcp/samples/cloudflare--mcp-server-cloudflare.md,7512,pending,,
logs/research/mcp/samples/conikeec--mcpr.md,5189,pending,,
logs/research/mcp/samples/crystaldba--postgres-mcp.md,7884,pending,,
logs/research/mcp/samples/cyanheads--git-mcp-server.md,4645,pending,,
logs/research/mcp/samples/cyanheads--perplexity-mcp-server.md,3726,pending,,
logs/research/mcp/samples/datalayer--earthdata-mcp-server.md,6390,pending,,
logs/research/mcp/samples/datalayer--jupyter-mcp-server.md,7356,pending,,
logs/research/mcp/samples/designcomputer--mysql_mcp_server.md,6444,pending,,
logs/research/mcp/samples/docker--hub-mcp.md,5646,pending,,
logs/research/mcp/samples/duolingo--slack-mcp.md,6825,pending,,
logs/research/mcp/samples/echelon-ai-labs--servicenow-mcp.md,7254,pending,,
logs/research/mcp/samples/elastic--mcp-server-elasticsearch.md,4354,pending,,
logs/research/mcp/samples/exa-labs--exa-mcp-server.md,4978,pending,,
logs/research/mcp/samples/executeautomation--mcp-playwright.md,6149,pending,,
logs/research/mcp/samples/feiskyer--mcp-kubernetes-server.md,6012,pending,,
logs/research/mcp/samples/geropl--linear-mcp-go.md,5860,pending,,
logs/research/mcp/samples/getsentry--sentry-mcp.md,7451,pending,,
logs/research/mcp/samples/github--github-mcp-server.md,7092,pending,,
logs/research/mcp/samples/googleapis--mcp-toolbox.md,7878,pending,,
logs/research/mcp/samples/hannesrudolph--sqlite-explorer-fastmcp-mcp-server.md,6719,pending,,
logs/research/mcp/samples/hugoduncan--mcp-clj.md,5603,pending,,
logs/research/mcp/samples/idosal--git-mcp.md,4058,pending,,
logs/research/mcp/samples/isaaccorley--planetary-computer-mcp.md,6285,pending,,
logs/research/mcp/samples/jbeno--cursor-notebook-mcp.md,7395,pending,,
logs/research/mcp/samples/jlowin--fastmcp.md,8897,pending,,
logs/research/mcp/samples/jparkerweb--mcp-sqlite.md,3558,pending,,
logs/research/mcp/samples/korotovsky--slack-mcp-server.md,4833,pending,,
logs/research/mcp/samples/ktanaka101--mcp-server-duckdb.md,5586,pending,,
logs/research/mcp/samples/labeveryday--mcp_pdf_reader.md,6375,pending,,
logs/research/mcp/samples/lanbaoshen--mcp-jenkins.md,6356,pending,,
logs/research/mcp/samples/mahdin75--gis-mcp.md,7028,pending,,
logs/research/mcp/samples/makenotion--notion-mcp-server.md,4438,pending,,
logs/research/mcp/samples/mark3labs--mcp-go.md,5847,pending,,
logs/research/mcp/samples/marlonluo2018--pandas-mcp-server.md,6989,pending,,
logs/research/mcp/samples/metoro-io--mcp-golang.md,5913,pending,,
logs/research/mcp/samples/microsoft--playwright-mcp.md,7260,pending,,
logs/research/mcp/samples/misbahsy--video-audio-mcp.md,7312,pending,,
logs/research/mcp/samples/modelcontextprotocol--kotlin-sdk.md,5891,pending,,
logs/research/mcp/samples/modelcontextprotocol--servers.md,11675,pending,,
logs/research/mcp/samples/mongodb-js--mongodb-mcp-server.md,5877,pending,,
logs/research/mcp/samples/motherduckdb--mcp-server-motherduck.md,6551,pending,,
logs/research/mcp/samples/mukul975--cve-mcp-server.md,7620,pending,,
logs/research/mcp/samples/neondatabase--mcp-server-neon.md,6079,pending,,
logs/research/mcp/samples/normaltusker--kotlin-mcp-server.md,9488,pending,,
logs/research/mcp/samples/openags--paper-search-mcp.md,7508,pending,,
logs/research/mcp/samples/opensearch-project--opensearch-mcp-server-py.md,6656,pending,,
logs/research/mcp/samples/pathintegral-institute--mcp.science.md,7937,pending,,
logs/research/mcp/samples/paypal--paypal-mcp-server.md,5782,pending,,
logs/research/mcp/samples/ppl-ai--modelcontextprotocol.md,5313,pending,,
logs/research/mcp/samples/pragmar--mcp-server-webcrawl.md,7274,pending,,
logs/research/mcp/samples/qdrant--mcp-server-qdrant.md,6794,pending,,
logs/research/mcp/samples/redis--mcp-redis.md,7815,pending,,
logs/research/mcp/samples/reminia--zendesk-mcp-server.md,6570,pending,,
logs/research/mcp/samples/riza-io--riza-mcp.md,5024,pending,,
logs/research/mcp/samples/rohitg00--kubectl-mcp-server.md,7472,pending,,
logs/research/mcp/samples/rust-mcp-stack--rust-mcp-filesystem.md,5770,pending,,
logs/research/mcp/samples/sajal2692--mcp-weaviate.md,5700,pending,,
logs/research/mcp/samples/samuelgursky--davinci-resolve-mcp.md,8668,pending,,
logs/research/mcp/samples/sandraschi--email-mcp.md,8653,pending,,
logs/research/mcp/samples/severity1--terraform-cloud-mcp.md,6080,pending,,
logs/research/mcp/samples/shibuiwilliam--mcp-server-scikit-learn.md,5909,pending,,
logs/research/mcp/samples/shreyaskarnik--huggingface-mcp-server.md,5871,pending,,
logs/research/mcp/samples/slackapi--slack-mcp-plugin.md,4311,pending,,
logs/research/mcp/samples/sooperset--mcp-atlassian.md,6864,pending,,
logs/research/mcp/samples/spences10--mcp-turso-cloud.md,5086,pending,,
logs/research/mcp/samples/stripe--agent-toolkit.md,6937,pending,,
logs/research/mcp/samples/supabase-community--supabase-mcp.md,6825,pending,,
logs/research/mcp/samples/teaguesterling--duckdb_mcp.md,5077,pending,,
logs/research/mcp/samples/the-momentum--fhir-mcp-server.md,8180,pending,,
logs/research/mcp/samples/thenets--ghost-mcp.md,6981,pending,,
logs/research/mcp/samples/tumf--grafana-loki-mcp.md,5995,pending,,
logs/research/mcp/samples/twolven--mcp-server-puppeteer-py.md,6747,pending,,
logs/research/mcp/samples/upstash--context7.md,5028,pending,,
logs/research/mcp/samples/utensils--mcp-nixos.md,6606,pending,,
logs/research/mcp/samples/v-3--discordmcp.md,5258,pending,,
logs/research/mcp/samples/viant--mcp.md,5440,pending,,
logs/research/mcp/samples/voska--hass-mcp.md,6602,pending,,
logs/research/mcp/samples/zilliztech--mcp-server-milvus.md,6478,pending,,
logs/research/mcp/samples/zongmin-yu--semantic-scholar-fastmcp-mcp-server.md,6038,pending,,
